product_name,uom,possible_purchase_uoms,average_price,lowest_price,highest_price,total_quantity,vendor_count,vendors,po_count
Romaine Hearts,Units,3-pc,1.1744444444444444,1.0966666666666667,1.33,3.0,2,"IC-ALDI, IC-Jewel-Osco",3
Scheduled Delivery discount,Units,Units,-2.0,-2.0,-2.0,1.0,1,IC-Costco Bussiness,1
Shipping,Units,Units,52.11,52.11,52.11,1.0,1,WebstaurantStore,1
Sliced Almonds,2-lb,2-lb,21.51,21.51,21.51,2.0,1,Amazon,1
Soymilk,gal (US),64 -fl oz(US),8.339859522546352,6.5798684026319485,11.979760404791906,5.0,3,"IC-ALDI, IC-Jewel-Osco, IC-Tony's Fresh Market",4
Strawberry,lb,lb,3.1726666666666663,2.55,4.99,15.0,3,"Costco, IC-ALDI, Mariano's",7
Sugar,kg,"10-lb, 25-lb",1.865769147763455,1.749585311243643,1.9819529842832673,2.0,2,"Jewel-Osco, Resturant Depot",2
"Torani Puremade Sauce, Caramel",450g,450g,4.78,4.78,4.78,4.0,1,Amazon,1
Twister French Fries 20-LB,20-lb,20-lb,43.74,43.74,43.74,2.0,1,Resturant Depot,1
Vegetable Oil,35-lb,35-lb,32.15,32.15,32.15,8.0,1,Resturant Depot,2
Watermelon,lb,lb,1.66,1.66,1.66,4.21,1,Costco,1
Whole Milk,gal (US),gal (US),2.9283783783783788,2.29,3.55,37.0,5,"Costco, IC-ALDI, IC-Costco Bussiness, IC-Jewel-Osco, IC-Tony's Fresh Market",9
